Zip;District;City;State;Region;Country
1;"District #34";"N Dillingham Census Area, AK";"AK";"West";"USA"
2;"District #34";"Yukon Flats Nat Wildlife, AK";"AK";"West";"USA"
3;"District #34";"Alaska Peninsula Nwr, AK";"AK";"West";"USA"
4;"District #34";"W Kenai Peninsula Boroug, AK";"AK";"West";"USA"
5;"District #34";"N Lake and Peninsula Bor, AK";"AK";"West";"USA"
6;"District #34";"Matanuska-Sustina Bor, AK";"AK";"West";"USA"
7;"District #34";"Southerly North Slope Bo, AK";"AK";"West";"USA"
9;"District #34";"Lake Clark National Pres, AK";"AK";"West";"USA"
10;"District #34";"Yukon Delta Wilderness, AK";"AK";"West";"USA"
11;"District #34";"Kenai Ntl Wildlife Ref, AK";"AK";"West";"USA"
12;"District #35";"Mt Meadows Area, CA";"CA";"West";"USA"
14;"District #39";"West Pima County, AZ";"AZ";"West";"USA"
15;"District #39";"Coronado Ntl Forest, AZ";"AZ";"West";"USA"
16;"District #38";"Sequoia National Forest, CA";"CA";"West";"USA"
17;"District #36";"Northeast Fresno County, CA";"CA";"West";"USA"
18;"District #37";"Los Padres Ntl Forest, CA";"CA";"West";"USA"
19;"District #35";"Lassen Ntl Forest, CA";"CA";"West";"USA"
20;"District #36";"Sierra National Forest, CA";"CA";"West";"USA"
22;"District #35";"Jackson St Forest, CA";"CA";"West";"USA"
26;"District #36";"East Tulare County, CA";"CA";"West";"USA"
27;"District #20";"Pike Ntl Forest, CO";"CO";"Central";"USA"
28;"District #35";"Plumas Ntl Forest, CA";"CA";"West";"USA"
29;"District #35";"Tahoe National Forest, CA";"CA";"West";"USA"
31;"District #35";"Lassen National Forest, CA";"CA";"West";"USA"
32;"District #37";"Los Padres Ntl Forest, CA";"CA";"West";"USA"
33;"District #35";"Tahoe National Forest, CA";"CA";"West";"USA"
34;"District #35";"Klamath National Forest, CA";"CA";"West";"USA"
35;"District #35";"Modoc/Shasta/Klamath For, CA";"CA";"West";"USA"
37;"District #35";"West Tehama County, CA";"CA";"West";"USA"
38;"District #35";"East Tehama County, CA";"CA";"West";"USA"
39;"District #35";"Southeast Trinity County, CA";"CA";"West";"USA"
40;"District #36";"Yosemite Ntl Park, CA";"CA";"West";"USA"
41;"District #10";"West Broward County, FL";"FL";"East";"USA"
42;"District #10";"Southwest Brevard Cnty, FL";"FL";"East";"USA"
43;"District #10";"Everglades, FL";"FL";"East";"USA"
44;"District #35";"South Alpine County, CA";"CA";"West";"USA"
45;"District #12";"Southeast Marion Cnty, FL";"FL";"East";"USA"
47;"District #35";"West Glenn County, CA";"CA";"West";"USA"
48;"District #35";"Mendocino Ntl Forest, CA";"CA";"West";"USA"
49;"District #35";"Six Rivers National Fore, CA";"CA";"West";"USA"
50;"District #35";"Six Rivers Ntl Forest, CA";"CA";"West";"USA"
51;"District #35";"Eldorado Ntl Forest, CA";"CA";"West";"USA"
52;"District #35";"Eldorado Ntl Forest, CA";"CA";"West";"USA"
53;"District #10";"Southwest Palm Beach Co, FL";"FL";"East";"USA"
54;"District #35";"Six Rivers Ntl Forest, CA";"CA";"West";"USA"
55;"District #35";"Trinity Ntl Forest, CA";"CA";"West";"USA"
56;"District #33";"Snake Riv Birds of Prey, ID";"ID";"West";"USA"
57;"District #37";"Channel Islands National Pk, CA";"CA";"West";"USA"
58;"District #36";"Yosemite Ntl Park, CA";"CA";"West";"USA"
59;"District #28";"Voyageurs Natl Park, MN";"MN";"Central";"USA"
60;"District #28";"Superior National Forest, MN";"MN";"Central";"USA"
61;"District #37";"Channel Is Air Guard Statio, CA";"CA";"West";"USA"
63;"District #33";"Benton Lake Nwr, MT";"MT";"West";"USA"
64;"District #39";"Sandoval County, NM";"NM";"West";"USA"
65;"District #35";"Plumas National Park, CA";"CA";"West";"USA"
66;"District #39";"White Sands Missile Rnge, NM";"NM";"West";"USA"
67;"District #22";"N Central Comanche Cnty, OK";"OK";"Central";"USA"
68;"District #35";"Siuslaw Ntl Forest, OR";"OR";"West";"USA"
69;"District #35";"Willamette National For, OR";"OR";"West";"USA"
70;"District #34";"Mt Hood National Forest, OR";"OR";"West";"USA"
71;"District #33";"Uinta Ntl Forest, UT";"UT";"West";"USA"
72;"District #34";"National Forest/Park, WA";"WA";"West";"USA"
73;"District #33";"Usdoe Hanford Site, WA";"WA";"West";"USA"
74;"District #33";"Yakima Indian Res, WA";"WA";"West";"USA"
76;"District #34";"Okanogan Natl Park, WA";"WA";"West";"USA"
77;"District #34";"Willamette Natl Forest, OR";"OR";"West";"USA"
84;"District #08";"Hoffman Forest, NC";"NC";"East";"USA"
87;"District #10";"Nw Indian River County, FL";"FL";"East";"USA"
97;"District #10";"Everglades-Monroe County, FL";"FL";"East";"USA"
98;"District #10";"Everglades-S Monroe Cnty, FL";"FL";"East";"USA"
100;"District #33";"Wasatch National Forest, UT";"UT";"West";"USA"
116;"District #24";"Marsh Island, LA";"LA";"Central";"USA"
119;"District #24";"Timbalier Islands, LA";"LA";"Central";"USA"
121;"District #24";"Mississippi Delta, LA";"LA";"Central";"USA"
152;"District #07";"Assateague Island Ntl Se, MD";"MD";"East";"USA"
158;"District #02";"Monomoy Island, MA";"MA";"East";"USA"
160;"District #28";"Superior National Forest, MN";"MN";"Central";"USA"
161;"District #28";"Superior National Forest, MN";"MN";"Central";"USA"
164;"District #32";"Northwest Beltrami Cnty, MN";"MN";"Central";"USA"
165;"District #32";"Beltrami Isl State For, MN";"MN";"Central";"USA"
166;"District #32";"Red Lake Indian Res, MN";"MN";"Central";"USA"
188;"District #23";"Padre Island Ntl Seashor, TX";"TX";"Central";"USA"
195;"District #34";"Long Island, WA";"WA";"West";"USA"
197;"District #39";"B M Goldwater A F Range, AZ";"AZ";"West";"USA"
198;"District #34";"E Mncplty of Anchorage, AK";"AK";"West";"USA"
199;"District #39";"Tonto National Forest, AZ";"AZ";"West";"USA"
501;"District #03";"Holtsville, NY";"NY";"East";"USA"
544;"District #03";"Holtsville, NY";"NY";"East";"USA"
1001;"District #02";"Agawam, MA";"MA";"East";"USA"
1002;"District #02";"Amherst, MA";"MA";"East";"USA"
1003;"District #02";"Amherst, MA";"MA";"East";"USA"
1004;"District #02";"Amherst, MA";"MA";"East";"USA"
1005;"District #02";"Barre, MA";"MA";"East";"USA"
1007;"District #02";"Belchertown, MA";"MA";"East";"USA"
1008;"District #02";"Blandford, MA";"MA";"East";"USA"
1009;"District #02";"Bondsville, MA";"MA";"East";"USA"
1010;"District #02";"Brimfield, MA";"MA";"East";"USA"
1011;"District #01";"Chester, MA";"MA";"East";"USA"
1012;"District #02";"Chesterfield, MA";"MA";"East";"USA"
